name,priceDM,sale_price,picture,product_category,sku
Аспиратор Pigeon с отводной трубочкой с 0месяцев,5 699 ₸,5 699 ₸,https://static.detmir.st/media_pim/192/214/214192/450/0.jpg?1681471831626,Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские,214192
Аспиратор NoseFrida в пластиковом контейнере (1шт.),5 839 ₸,3 075 ₸,https://static.detmir.st/media_pim/922/209/209922/1500/0.jpg?1669020657710,Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские,209922
Аспиратор для носа Lubby с 0месяцев 16592,2 590 ₸,2 329 ₸,https://static.detmir.st/media_pim/419/280/3280419/450/0.jpg?1678287614844,Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские,3280419
Набор назальных аспираторов BabyGo 2шт BD-19122,1 339 ₸,791,https://static.detmir.st/media_pim/732/117/3117732/1500/0.jpg?1678287553448,Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские,3117732
Крем-тальк после купания Little Siberica детский 75мл,3 290 ₸,2 959 ₸,https://static.detmir.st/media_pim/851/960/4960851/450/0.jpg?1681827867175,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для атопичной кожи,4960851
Крем для младенцев Bubchen 150мл,2 590 ₸,2 199 ₸,https://static.detmir.st/media_pim/987/824/4824987/450/0.jpg?1678807032674,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,4824987
Аспиратор для носа Lubby c 0 месяцев 13695,2 490 ₸,2 239 ₸,https://static.detmir.st/media_pim/765/704/3704765/450/0.jpg?1678287606282,Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские,3704765
Крем-тальк после купания Little Siberica детский 75мл,3 290 ₸,2 959 ₸,https://static.detmir.st/media_pim/851/960/4960851/450/0.jpg?1681827867175,Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для атопичной кожи,4960851
Масло MAMAS LIEBE Premium детское 150мл,1 860 ₸,1 669 ₸,https://static.detmir.st/media_pim/326/954/4954326/450/0.jpg?1679314182380,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,4954326
Аспиратор Nuk с насадкой 10256065,3 109 ₸,3 109 ₸,https://static.detmir.st/media_out/452/156/156452/450/0.jpg?1652262383641,Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские,156452
Крем-эмолент Лапочка 75мл 52827,1 029 ₸,919,https://static.detmir.st/media_out/270/255/3255270/450/0.jpg?1652264524804,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,3255270
Аспиратор Pigeon с отводной трубочкой с 0месяцев,5 699 ₸,5 699 ₸,https://static.detmir.st/media_pim/192/214/214192/450/0.jpg?1681471831626,Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские,214192
Масло для тела Baby line The Original 250мл,3 590 ₸,3 229 ₸,https://static.detmir.st/media_pim/186/793/3793186/450/0.jpg?1678871185247,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,3793186
Аспиратор NoseFrida в пластиковом контейнере (1шт.),5 839 ₸,3 075 ₸,https://static.detmir.st/media_pim/922/209/209922/450/0.jpg?1669020657710,Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские,209922
Детский крем Умкa успокаивающий 100мл,990,789,https://static.detmir.st/media_out/861/764/1764861/450/0.jpg?1666152017508,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,1764861
Аспиратор для носа Lubby с 0месяцев 16592,2 590 ₸,2 329 ₸,https://static.detmir.st/media_pim/419/280/3280419/450/0.jpg?1678287614844,Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские,3280419
Крем Детский легкий увлажняющий 75мл,639,569,https://static.detmir.st/media_out/721/035/35721/450/0.jpg?1652261101366,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,35721
Набор назальных аспираторов BabyGo 2шт BD-19122,1 339 ₸,791,https://static.detmir.st/media_pim/732/117/3117732/450/0.jpg?1678287553448,Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские,3117732
Детский крем Умкa увлажняющий 100мл,1 190 ₸,949,https://static.detmir.st/media_out/871/764/1764871/450/0.jpg?1666152017478,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,1764871
Аспиратор для носа Lubby c 0 месяцев 13695,2 490 ₸,2 239 ₸,https://static.detmir.st/media_pim/765/704/3704765/450/0.jpg?1678287606282,Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские,3704765
Помада для губ EVO гигиеническая Пантенол,489,439,https://static.detmir.st/media_pim/731/959/1959731/450/0.jpg?1681727007913,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,1959731
Аспиратор Nuk с насадкой 10256065,3 109 ₸,3 109 ₸,https://static.detmir.st/media_out/452/156/156452/450/0.jpg?1652262383641,Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские,156452
Крем EVO Пантенол универсальный 46мл,959,859,https://static.detmir.st/media_pim/401/326/326401/1500/0.jpg?1678807101866,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,326401
Крем Моё солнышко детский Пантенол 100 мл,1 690 ₸,1 519 ₸,https://static.detmir.st/media_out/881/699/699881/1500/0.jpg?1657944257864,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,699881
Гигиеническая помада Умкa с экстрактом ромашки,590,469,https://static.detmir.st/media_out/831/764/1764831/450/0.jpg?1652264477939,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,1764831
Крем DR.TUTTELLE для чувствительной и сухой кожи 125мл DT088,3 190 ₸,3 190 ₸,https://static.detmir.st/media_out/153/847/4847153/450/0.jpg?1655266181604,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,4847153
Крем Моё солнышко с экстрактом ромашки 100 мл,829,739,https://static.detmir.st/media_out/741/035/35741/450/0.jpg?1657944214794,Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка,35741
