name;priceDM;sale_price;picture;product_category;sku
Аспиратор Pigeon с отводной трубочкой с 0месяцев;5 699 ₸;5 699 ₸;https://static.detmir.st/media_pim/192/214/214192/450/0.jpg?1678287661489;Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские;214192
Аспиратор NoseFrida в пластиковом контейнере (1шт.);5 839 ₸;3 009 ₸;https://static.detmir.st/media_pim/922/209/209922/450/0.jpg?1669020657710;Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские;209922
Аспиратор для носа Lubby с 0месяцев 16592;2 590 ₸;1 569 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские;3280419
Набор назальных аспираторов BabyGo 2шт BD-19122;1 339 ₸;1 199 ₸;https://static.detmir.st/media_pim/732/117/3117732/450/0.jpg?1678287553448;Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские;3117732
Аспиратор для носа Lubby c 0 месяцев 13695;2 490 ₸;1 569 ₸;https://static.detmir.st/media_pim/765/704/3704765/450/0.jpg?1678287606282;Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские;3704765
Крем-тальк после купания Little Siberica детский 75мл;3 290 ₸;1 969 ₸;https://static.detmir.st/media_out/851/960/4960851/450/0.jpg?1659672382416;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для атопичной кожи;4960851
Крем-тальк после купания Little Siberica детский 75мл;3 290 ₸;1 969 ₸;https://static.detmir.st/media_out/851/960/4960851/450/0.jpg?1659672382416;Детский мир>Гигиена и уход>Косметика и гигиена>Косметика для атопичной кожи;4960851
Аспиратор Nuk с насадкой 10256065;3 109 ₸;3 109 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские;156452
Крем для младенцев Bubchen 150мл;2 590 ₸;2 590 ₸;https://static.detmir.st/media/hXAIBPd8MX8fVNVFK7Ge3aSuoM3j8Opb-sZhFIZkoDU=?preset=webp;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;4824987
Аспиратор Pigeon с отводной трубочкой с 0месяцев;5 699 ₸;5 699 ₸;https://static.detmir.st/media_pim/192/214/214192/450/0.jpg?1678287661489;Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские;214192
Молочко детское Bubchen 200мл 12471330;2 190 ₸;1 859 ₸;https://static.detmir.st/media_pim/989/824/4824989/450/0.jpg?1678871017467;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;4824989
Аспиратор NoseFrida в пластиковом контейнере (1шт.);5 839 ₸;3 009 ₸;https://static.detmir.st/media_pim/922/209/209922/450/0.jpg?1669020657710;Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские;209922
Аспиратор для носа Lubby с 0месяцев 16592;2 590 ₸;1 569 ₸;https://static.detmir.st/media_pim/419/280/3280419/450/0.jpg?1678287614844;Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские;3280419
Набор назальных аспираторов BabyGo 2шт BD-19122;1 339 ₸;1 199 ₸;https://static.detmir.st/media_pim/732/117/3117732/450/0.jpg?1678287553448;Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские;3117732
Аспиратор для носа Lubby c 0 месяцев 13695;2 490 ₸;1 569 ₸;https://static.detmir.st/media_pim/765/704/3704765/450/0.jpg?1678287606282;Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские;3704765
Детский крем Умкa увлажняющий 100мл;1 190 ₸;1 069 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;1764871
Аспиратор Nuk с насадкой 10256065;3 109 ₸;3 109 ₸;https://static.detmir.st/media_out/452/156/156452/450/0.jpg?1652262383641;Детский мир>Гигиена и уход>Косметика и гигиена>Аспираторы детские;156452
Крем-эмолент Лапочка 75мл 52827;1 029 ₸;919 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;3255270
Детский крем Умкa успокаивающий 100мл;990 ₸;889 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;1764861
Масло для тела Baby line The Original 250мл;3 590 ₸;3 229 ₸;https://detmir.kz/images/banners/02879ef716243f96dbde10230622f32a5d706f0d.jpg;Детский мир>Гигиена и уход>Косметика и гигиена>Уход за кожей ребенка;3793186
